country_name_short,party_id,party_name_short,yt_page_created,month,yt_videos_n_monthly
AUS,2259,PUP,2013-05-15,2015-08-01,3
AUS,2259,PUP,2013-05-15,2015-09-01,2
AUS,2259,PUP,2013-05-15,2015-10-01,3
AUS,2259,PUP,2013-05-15,2015-11-01,4
AUS,2259,PUP,2013-05-15,2015-12-01,1
AUS,2259,PUP,2013-05-15,2016-02-01,8
AUS,2259,PUP,2013-05-15,2016-03-01,4
AUS,2259,PUP,2013-05-15,2016-04-01,2
AUS,2259,PUP,2013-05-15,2016-05-01,10
AUS,2259,PUP,2013-05-15,2016-06-01,54
AUS,2259,PUP,2013-05-15,2016-12-01,1
AUS,2259,PUP,2013-05-15,2018-03-01,5
AUS,2259,PUP,2013-05-15,2018-04-01,2
AUS,2259,PUP,2013-05-15,2018-06-01,3
AUS,2259,PUP,2013-05-15,2018-07-01,10
AUS,2259,PUP,2013-05-15,2018-08-01,18
AUS,2259,PUP,2013-05-15,2018-09-01,17
AUS,2259,PUP,2013-05-15,2018-10-01,15
AUS,2259,PUP,2013-05-15,2018-11-01,4
AUS,2259,PUP,2013-05-15,2018-12-01,1
AUS,2259,PUP,2013-05-15,2019-01-01,9
AUS,2259,PUP,2013-05-15,2019-02-01,21
AUS,2259,PUP,2013-05-15,2019-03-01,10
AUS,2259,PUP,2013-05-15,2019-04-01,37
AUS,2259,PUP,2013-05-15,2019-05-01,16
AUS,2259,PUP,2013-05-15,2020-06-01,3
AUS,2259,PUP,2013-05-15,2020-08-01,1
AUS,2259,PUP,2013-05-15,2020-10-01,25
AUS,2259,PUP,2013-05-15,2021-06-01,1
AUS,2259,PUP,2013-05-15,2021-08-01,2
AUS,2259,PUP,2013-05-15,2021-09-01,7
AUS,2259,PUP,2013-05-15,2021-10-01,11
AUS,2259,PUP,2013-05-15,2021-11-01,4
AUS,2259,PUP,2013-05-15,2021-12-01,1
AUS,2259,PUP,2013-05-15,2022-01-01,4
AUS,2259,PUP,2013-05-15,2022-02-01,3
AUS,2259,PUP,2013-05-15,2022-03-01,7
AUS,2259,PUP,2013-05-15,2022-04-01,18
AUS,2259,PUP,2013-05-15,2022-05-01,30
AUS,2259,PUP,2013-05-15,2022-06-01,1
AUS,2259,PUP,2013-05-15,2022-08-01,1
AUS,2259,PUP,2013-05-15,2022-09-01,1
AUS,2259,PUP,2013-05-15,2022-10-01,2
AUS,2259,PUP,2013-05-15,2022-11-01,1
AUS,2259,PUP,2013-05-15,2022-12-01,1
AUS,2259,PUP,2013-05-15,2023-02-01,1
AUS,751,AG,2006-09-20,2009-05-01,1
AUS,751,AG,2006-09-20,2009-08-01,1
AUS,751,AG,2006-09-20,2010-02-01,1
AUS,751,AG,2006-09-20,2010-04-01,1
AUS,751,AG,2006-09-20,2010-07-01,7
AUS,751,AG,2006-09-20,2010-08-01,2
AUS,751,AG,2006-09-20,2010-10-01,4
AUS,751,AG,2006-09-20,2010-11-01,5
AUS,751,AG,2006-09-20,2010-12-01,6
