country_name_short,party_id,party_name_short,tw_page_created,month,tw_posts_n_monthly
AUS,1411,LPA,2009-04-04,2012-01-01,66
AUS,1411,LPA,2009-04-04,2012-02-01,44
AUS,1411,LPA,2009-04-04,2012-03-01,37
AUS,1411,LPA,2009-04-04,2012-04-01,44
AUS,1411,LPA,2009-04-04,2012-05-01,73
AUS,1411,LPA,2009-04-04,2012-06-01,124
AUS,1411,LPA,2009-04-04,2012-07-01,75
AUS,1411,LPA,2009-04-04,2012-08-01,105
AUS,1411,LPA,2009-04-04,2012-09-01,72
AUS,1411,LPA,2009-04-04,2012-10-01,84
AUS,1411,LPA,2009-04-04,2012-11-01,109
AUS,1411,LPA,2009-04-04,2012-12-01,46
AUS,1411,LPA,2009-04-04,2013-01-01,85
AUS,1411,LPA,2009-04-04,2013-02-01,103
AUS,1411,LPA,2009-04-04,2013-03-01,85
AUS,1411,LPA,2009-04-04,2013-04-01,105
AUS,1411,LPA,2009-04-04,2013-05-01,146
AUS,1411,LPA,2009-04-04,2013-06-01,95
AUS,1411,LPA,2009-04-04,2013-07-01,93
AUS,1411,LPA,2009-04-04,2013-08-01,330
AUS,1411,LPA,2009-04-04,2013-09-01,124
AUS,1411,LPA,2009-04-04,2013-10-01,30
AUS,1411,LPA,2009-04-04,2013-11-01,17
AUS,1411,LPA,2009-04-04,2013-12-01,32
AUS,1411,LPA,2009-04-04,2014-01-01,3
AUS,1411,LPA,2009-04-04,2014-02-01,30
AUS,1411,LPA,2009-04-04,2014-03-01,61
AUS,1411,LPA,2009-04-04,2014-04-01,84
AUS,1411,LPA,2009-04-04,2014-05-01,187
AUS,1411,LPA,2009-04-04,2014-06-01,133
AUS,1411,LPA,2009-04-04,2014-07-01,29
AUS,1411,LPA,2009-04-04,2014-08-01,36
AUS,1411,LPA,2009-04-04,2014-09-01,52
AUS,1411,LPA,2009-04-04,2014-10-01,39
AUS,1411,LPA,2009-04-04,2014-11-01,30
AUS,1411,LPA,2009-04-04,2014-12-01,39
AUS,1411,LPA,2009-04-04,2015-01-01,3
AUS,1411,LPA,2009-04-04,2015-02-01,37
AUS,1411,LPA,2009-04-04,2015-03-01,45
AUS,1411,LPA,2009-04-04,2015-04-01,4
AUS,1411,LPA,2009-04-04,2015-05-01,76
AUS,1411,LPA,2009-04-04,2015-06-01,81
AUS,1411,LPA,2009-04-04,2015-07-01,40
AUS,1411,LPA,2009-04-04,2015-08-01,32
AUS,1411,LPA,2009-04-04,2015-09-01,27
AUS,1411,LPA,2009-04-04,2015-10-01,32
AUS,1411,LPA,2009-04-04,2015-11-01,25
AUS,1411,LPA,2009-04-04,2015-12-01,10
AUS,1411,LPA,2009-04-04,2016-02-01,33
AUS,1411,LPA,2009-04-04,2016-03-01,42
AUS,1411,LPA,2009-04-04,2016-04-01,2
