country_name_short,party_id,party_name_short,tw_page_created,week,tw_posts_n_weekly
AUS,1253,ALP,2010-02-05,2015-02-08,66
AUS,1253,ALP,2010-02-05,2015-02-15,23
AUS,1253,ALP,2010-02-05,2015-02-22,79
AUS,1253,ALP,2010-02-05,2015-03-01,81
AUS,1253,ALP,2010-02-05,2015-03-08,13
AUS,1253,ALP,2010-02-05,2015-03-15,52
AUS,1253,ALP,2010-02-05,2015-03-22,48
AUS,1253,ALP,2010-02-05,2015-03-29,28
AUS,1253,ALP,2010-02-05,2015-04-05,24
AUS,1253,ALP,2010-02-05,2015-04-12,31
AUS,1253,ALP,2010-02-05,2015-04-19,49
AUS,1253,ALP,2010-02-05,2015-04-26,28
AUS,1253,ALP,2010-02-05,2015-05-03,44
AUS,1253,ALP,2010-02-05,2015-05-10,265
AUS,1253,ALP,2010-02-05,2015-05-17,109
AUS,1253,ALP,2010-02-05,2015-05-24,124
AUS,1253,ALP,2010-02-05,2015-05-31,191
AUS,1253,ALP,2010-02-05,2015-06-07,42
AUS,1253,ALP,2010-02-05,2015-06-14,131
AUS,1253,ALP,2010-02-05,2015-06-21,204
AUS,1253,ALP,2010-02-05,2015-06-28,33
AUS,1253,ALP,2010-02-05,2015-07-05,14
AUS,1253,ALP,2010-02-05,2015-07-12,99
AUS,1253,ALP,2010-02-05,2015-07-19,76
AUS,1253,ALP,2010-02-05,2015-07-26,56
AUS,1253,ALP,2010-02-05,2015-08-02,68
AUS,1253,ALP,2010-02-05,2015-08-09,216
AUS,1253,ALP,2010-02-05,2015-08-16,120
AUS,1253,ALP,2010-02-05,2015-08-23,84
AUS,1253,ALP,2010-02-05,2015-08-30,58
AUS,1253,ALP,2010-02-05,2015-09-06,218
AUS,1253,ALP,2010-02-05,2015-09-13,180
AUS,1253,ALP,2010-02-05,2015-09-20,92
AUS,1253,ALP,2010-02-05,2015-09-27,30
AUS,1253,ALP,2010-02-05,2015-10-04,51
AUS,1253,ALP,2010-02-05,2015-10-11,124
AUS,1253,ALP,2010-02-05,2015-10-18,123
AUS,1253,ALP,2010-02-05,2015-10-25,38
AUS,1253,ALP,2010-02-05,2015-11-01,18
AUS,1253,ALP,2010-02-05,2015-11-08,18
AUS,1253,ALP,2010-02-05,2015-11-15,8
AUS,1253,ALP,2010-02-05,2015-11-22,7
AUS,1253,ALP,2010-02-05,2015-11-29,3
AUS,1253,ALP,2010-02-05,2015-12-06,18
AUS,1253,ALP,2010-02-05,2015-12-13,27
AUS,1253,ALP,2010-02-05,2015-12-20,21
AUS,1253,ALP,2010-02-05,2015-12-27,1
AUS,1253,ALP,2010-02-05,2016-01-03,6
AUS,1253,ALP,2010-02-05,2016-01-10,4
AUS,1253,ALP,2010-02-05,2016-01-17,1
