country_name_short,party_id,party_name_short,fb_page_created,week,fb_posts_n_weekly,fb_videos_n_weekly,fb_images_n_weekly
AUS,1253,ALP,2010-02-05,2013-09-08,1,0,0
AUS,1253,ALP,2010-02-05,2013-09-15,1,0,0
AUS,1253,ALP,2010-02-05,2013-09-29,3,0,1
AUS,1253,ALP,2010-02-05,2013-10-06,3,0,0
AUS,1253,ALP,2010-02-05,2013-10-13,2,0,0
AUS,1253,ALP,2010-02-05,2013-10-20,7,0,4
AUS,1253,ALP,2010-02-05,2013-10-27,6,0,2
AUS,1253,ALP,2010-02-05,2013-11-10,3,0,1
AUS,1253,ALP,2010-02-05,2013-11-17,3,0,2
AUS,1253,ALP,2010-02-05,2013-11-24,7,1,1
AUS,1253,ALP,2010-02-05,2013-12-01,8,0,2
AUS,1253,ALP,2010-02-05,2013-12-08,4,1,2
AUS,1253,ALP,2010-02-05,2013-12-15,6,0,3
AUS,1253,ALP,2010-02-05,2013-12-22,1,0,1
AUS,1253,ALP,2010-02-05,2013-12-29,3,0,2
AUS,1253,ALP,2010-02-05,2014-01-05,3,0,0
AUS,1253,ALP,2010-02-05,2014-01-12,2,0,1
AUS,1253,ALP,2010-02-05,2014-01-19,7,0,3
AUS,1253,ALP,2010-02-05,2014-01-26,8,0,6
AUS,1253,ALP,2010-02-05,2014-02-02,10,2,5
AUS,1253,ALP,2010-02-05,2014-02-09,5,0,4
AUS,1253,ALP,2010-02-05,2014-02-16,5,0,2
AUS,1253,ALP,2010-02-05,2014-02-23,7,0,2
AUS,1253,ALP,2010-02-05,2014-03-02,6,0,2
AUS,1253,ALP,2010-02-05,2014-03-09,5,0,1
AUS,1253,ALP,2010-02-05,2014-03-16,8,0,5
AUS,1253,ALP,2010-02-05,2014-03-23,9,1,2
AUS,1253,ALP,2010-02-05,2014-03-30,3,0,1
AUS,1253,ALP,2010-02-05,2014-04-06,6,1,3
AUS,1253,ALP,2010-02-05,2014-04-13,5,0,1
AUS,1253,ALP,2010-02-05,2014-04-20,6,1,2
AUS,1253,ALP,2010-02-05,2014-04-27,5,0,4
AUS,1253,ALP,2010-02-05,2014-05-04,9,0,6
AUS,1253,ALP,2010-02-05,2014-05-11,12,2,5
AUS,1253,ALP,2010-02-05,2014-05-18,5,1,1
AUS,1253,ALP,2010-02-05,2014-05-25,8,0,6
AUS,1253,ALP,2010-02-05,2014-06-01,12,2,5
AUS,1253,ALP,2010-02-05,2014-06-08,2,1,1
AUS,1253,ALP,2010-02-05,2014-06-15,7,0,2
AUS,1253,ALP,2010-02-05,2014-06-22,5,0,2
AUS,1253,ALP,2010-02-05,2014-06-29,6,0,5
AUS,1253,ALP,2010-02-05,2014-07-06,6,1,2
AUS,1253,ALP,2010-02-05,2014-07-13,8,1,5
AUS,1253,ALP,2010-02-05,2014-07-20,9,1,6
AUS,1253,ALP,2010-02-05,2014-07-27,2,0,1
