country_name_short,party_id,party_name_short,insta_page_created,day,insta_posts_n_daily,insta_type_img_n_daily,insta_type_vid_n_daily,insta_type_car_n_daily
AUS,1253,ALP,2016-05-23,2020-07-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-09,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-13,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-14,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-15,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-24,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-28,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-31,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-08-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-08-06,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-08-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-08-12,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-08-13,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-08-14,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-08-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-08-19,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-08-25,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-08-27,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-09-01,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-09-04,1,0,0,1
AUS,1253,ALP,2016-05-23,2020-09-08,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-09-09,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-09-17,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-09-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-09-21,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-09-24,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-09-27,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-09-29,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-10-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-06,3,2,0,1
AUS,1253,ALP,2016-05-23,2020-10-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-08,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-14,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-15,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-16,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-19,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-10-21,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-10-22,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-10-23,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-10-24,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-25,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-26,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-10-27,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-10-28,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-10-29,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-10-30,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-10-31,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-03,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-11-05,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-06,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-11-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-08,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-11,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-11-12,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-13,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-16,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-11-17,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-18,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-11-19,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-25,3,3,0,0
AUS,1253,ALP,2016-05-23,2020-11-26,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-27,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-28,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-11-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-01,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-12-02,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-03,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-12-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-07,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-12-08,1,1,0,0
