country_name_short,party_id,party_name_short,yt_page_created,day,yt_videos_n_daily
AUS,1253,ALP,2007-06-11,2012-04-20,1
AUS,1253,ALP,2007-06-11,2012-04-30,1
AUS,1253,ALP,2007-06-11,2012-05-08,1
AUS,1253,ALP,2007-06-11,2012-05-10,1
AUS,1253,ALP,2007-06-11,2012-06-26,1
AUS,1253,ALP,2007-06-11,2012-07-04,1
AUS,1253,ALP,2007-06-11,2012-11-01,1
AUS,1253,ALP,2007-06-11,2012-11-08,1
AUS,1253,ALP,2007-06-11,2013-02-11,1
AUS,1253,ALP,2007-06-11,2013-03-20,1
AUS,1253,ALP,2007-06-11,2013-04-28,1
AUS,1253,ALP,2007-06-11,2013-05-13,1
AUS,1253,ALP,2007-06-11,2013-05-14,1
AUS,1253,ALP,2007-06-11,2013-05-16,1
AUS,1253,ALP,2007-06-11,2013-06-20,1
AUS,1253,ALP,2007-06-11,2013-06-26,2
AUS,1253,ALP,2007-06-11,2013-07-07,1
AUS,1253,ALP,2007-06-11,2013-07-18,1
AUS,1253,ALP,2007-06-11,2013-07-24,1
AUS,1253,ALP,2007-06-11,2013-07-25,1
AUS,1253,ALP,2007-06-11,2013-07-26,1
AUS,1253,ALP,2007-06-11,2013-07-31,1
AUS,1253,ALP,2007-06-11,2013-08-04,1
AUS,1253,ALP,2007-06-11,2013-08-06,1
AUS,1253,ALP,2007-06-11,2013-08-07,5
AUS,1253,ALP,2007-06-11,2013-08-08,1
AUS,1253,ALP,2007-06-11,2013-08-09,2
AUS,1253,ALP,2007-06-11,2013-08-10,1
AUS,1253,ALP,2007-06-11,2013-08-12,1
AUS,1253,ALP,2007-06-11,2013-08-14,2
AUS,1253,ALP,2007-06-11,2013-08-15,1
AUS,1253,ALP,2007-06-11,2013-08-16,2
AUS,1253,ALP,2007-06-11,2013-08-17,1
AUS,1253,ALP,2007-06-11,2013-08-18,2
AUS,1253,ALP,2007-06-11,2013-08-19,1
AUS,1253,ALP,2007-06-11,2013-08-21,2
AUS,1253,ALP,2007-06-11,2013-08-22,1
AUS,1253,ALP,2007-06-11,2013-08-24,3
AUS,1253,ALP,2007-06-11,2013-08-25,2
AUS,1253,ALP,2007-06-11,2013-08-28,3
AUS,1253,ALP,2007-06-11,2013-08-30,1
AUS,1253,ALP,2007-06-11,2013-08-31,1
AUS,1253,ALP,2007-06-11,2013-09-02,8
AUS,1253,ALP,2007-06-11,2013-09-03,2
AUS,1253,ALP,2007-06-11,2013-09-06,8
AUS,1253,ALP,2007-06-11,2013-12-02,1
AUS,1253,ALP,2007-06-11,2013-12-04,1
AUS,1253,ALP,2007-06-11,2014-02-02,2
AUS,1253,ALP,2007-06-11,2014-02-04,1
AUS,1253,ALP,2007-06-11,2014-03-23,1
AUS,1253,ALP,2007-06-11,2014-03-30,1
AUS,1253,ALP,2007-06-11,2014-04-22,1
AUS,1253,ALP,2007-06-11,2014-04-24,1
AUS,1253,ALP,2007-06-11,2014-05-12,1
AUS,1253,ALP,2007-06-11,2014-05-14,1
AUS,1253,ALP,2007-06-11,2014-05-18,1
AUS,1253,ALP,2007-06-11,2014-07-15,7
AUS,1253,ALP,2007-06-11,2014-07-16,1
AUS,1253,ALP,2007-06-11,2014-08-11,1
AUS,1253,ALP,2007-06-11,2014-08-14,1
AUS,1253,ALP,2007-06-11,2014-08-15,1
AUS,1253,ALP,2007-06-11,2014-09-23,1
AUS,1253,ALP,2007-06-11,2014-09-30,1
AUS,1253,ALP,2007-06-11,2014-10-06,1
