country_name_short,party_id,party_name_short,yt_page_created,year,yt_videos_n_yearly
BEL,256,PA-PTB,2009-10-19,2022,198
BEL,256,PA-PTB,2009-10-19,2023,190
BEL,438,Pp,2013-09-16,2014,20
BEL,438,Pp,2013-09-16,2015,3
BEL,438,Pp,2013-09-16,2018,63
BEL,438,Pp,2013-09-16,2019,29
BEL,501,N-VA,2009-02-25,2009,25
BEL,501,N-VA,2009-02-25,2010,33
BEL,501,N-VA,2009-02-25,2011,13
BEL,501,N-VA,2009-02-25,2012,31
BEL,501,N-VA,2009-02-25,2013,34
BEL,501,N-VA,2009-02-25,2014,87
BEL,501,N-VA,2009-02-25,2015,35
BEL,501,N-VA,2009-02-25,2016,31
BEL,501,N-VA,2009-02-25,2017,39
BEL,501,N-VA,2009-02-25,2018,40
BEL,501,N-VA,2009-02-25,2019,94
BEL,501,N-VA,2009-02-25,2020,43
BEL,501,N-VA,2009-02-25,2021,57
BEL,501,N-VA,2009-02-25,2022,155
BEL,501,N-VA,2009-02-25,2023,226
BEL,723,CVP|CD&V,2008-01-24,2008,6
BEL,723,CVP|CD&V,2008-01-24,2009,11
BEL,723,CVP|CD&V,2008-01-24,2011,4
BEL,723,CVP|CD&V,2008-01-24,2012,11
BEL,723,CVP|CD&V,2008-01-24,2013,13
BEL,723,CVP|CD&V,2008-01-24,2014,25
BEL,723,CVP|CD&V,2008-01-24,2015,10
BEL,723,CVP|CD&V,2008-01-24,2016,31
BEL,723,CVP|CD&V,2008-01-24,2017,24
BEL,723,CVP|CD&V,2008-01-24,2018,64
BEL,723,CVP|CD&V,2008-01-24,2019,105
BEL,723,CVP|CD&V,2008-01-24,2020,11
BEL,723,CVP|CD&V,2008-01-24,2021,10
BEL,723,CVP|CD&V,2008-01-24,2022,27
BEL,723,CVP|CD&V,2008-01-24,2023,16
BEL,915,MR,2012-03-07,2012,1
BEL,915,MR,2012-03-07,2013,6
BEL,915,MR,2012-03-07,2014,11
BEL,915,MR,2012-03-07,2015,17
BEL,915,MR,2012-03-07,2016,9
BEL,915,MR,2012-03-07,2017,13
BEL,915,MR,2012-03-07,2018,11
BEL,915,MR,2012-03-07,2019,18
BEL,915,MR,2012-03-07,2020,34
BEL,915,MR,2012-03-07,2021,70
BEL,915,MR,2012-03-07,2022,64
BEL,915,MR,2012-03-07,2023,46
BEL,969,FDF,2007-06-26,2012,1
BEL,969,FDF,2007-06-26,2013,38
BEL,969,FDF,2007-06-26,2014,42
BEL,969,FDF,2007-06-26,2015,37
BEL,969,FDF,2007-06-26,2016,38
BEL,969,FDF,2007-06-26,2017,38
BEL,969,FDF,2007-06-26,2018,87
BEL,969,FDF,2007-06-26,2019,239
BEL,969,FDF,2007-06-26,2020,164
BEL,969,FDF,2007-06-26,2021,148
BEL,969,FDF,2007-06-26,2022,107
BEL,969,FDF,2007-06-26,2023,41
BEL,993,VB,2008-09-16,2014,21
BEL,993,VB,2008-09-16,2015,51
BEL,993,VB,2008-09-16,2016,80
BEL,993,VB,2008-09-16,2017,99
BEL,993,VB,2008-09-16,2018,91
BEL,993,VB,2008-09-16,2019,16
BEL,993,VB,2008-09-16,2020,181
BEL,993,VB,2008-09-16,2021,298
BEL,993,VB,2008-09-16,2022,329
BEL,993,VB,2008-09-16,2023,259
BGR,1286,DPS,2012-06-07,2012,216
BGR,1286,DPS,2012-06-07,2013,289
BGR,1286,DPS,2012-06-07,2014,22
BGR,1286,DPS,2012-06-07,2015,690
BGR,1286,DPS,2012-06-07,2016,533
BGR,1286,DPS,2012-06-07,2017,551
BGR,1286,DPS,2012-06-07,2018,555
BGR,1286,DPS,2012-06-07,2019,653
BGR,1286,DPS,2012-06-07,2020,458
BGR,1286,DPS,2012-06-07,2021,876
BGR,1286,DPS,2012-06-07,2022,1437
BGR,1286,DPS,2012-06-07,2023,526
BGR,2364,ABV,2014-01-15,2014,6
BGR,2364,ABV,2014-01-15,2019,15
BGR,2364,ABV,2014-01-15,2020,80
BGR,2364,ABV,2014-01-15,2021,116
BGR,2364,ABV,2014-01-15,2022,43
BGR,2364,ABV,2014-01-15,2023,69
BGR,2637,Volya,2017-03-14,2017,5
BGR,2638,DaB,2016-12-10,2016,4
BGR,2638,DaB,2016-12-10,2017,87
BGR,2638,DaB,2016-12-10,2018,7
BGR,2638,DaB,2016-12-10,2019,22
BGR,2638,DaB,2016-12-10,2020,69
BGR,2638,DaB,2016-12-10,2021,65
BGR,2638,DaB,2016-12-10,2022,102
BGR,2638,DaB,2016-12-10,2023,202
BGR,2640,R,2014-09-10,2015,21
BGR,2640,R,2014-09-10,2017,18
BGR,2640,R,2014-09-10,2018,18
BGR,2640,R,2014-09-10,2019,129
BGR,2640,R,2014-09-10,2020,103
BGR,2640,R,2014-09-10,2021,95
BGR,2640,R,2014-09-10,2022,436
BGR,2640,R,2014-09-10,2023,115
BGR,2836,ITN,2020-07-17,2020,20
BGR,2836,ITN,2020-07-17,2021,53
BGR,2838,IS,2019-11-07,2020,42
BGR,2838,IS,2019-11-07,2021,36
BGR,2838,IS,2019-11-07,2022,20
BGR,2838,IS,2019-11-07,2023,3
BGR,2847,PP,2021-09-29,2021,106
BGR,2847,PP,2021-09-29,2022,190
BGR,2847,PP,2021-09-29,2023,584
BGR,535,Ataka,2013-05-16,2013,158
BGR,535,Ataka,2013-05-16,2014,258
BGR,535,Ataka,2013-05-16,2015,108
BGR,535,Ataka,2013-05-16,2016,26
BGR,57,DSB|DB,2012-12-03,2013,243
BGR,57,DSB|DB,2012-12-03,2014,84
BGR,57,DSB|DB,2012-12-03,2015,33
BGR,57,DSB|DB,2012-12-03,2016,15
BGR,57,DSB|DB,2012-12-03,2017,5
BGR,57,DSB|DB,2012-12-03,2018,37
BGR,57,DSB|DB,2012-12-03,2019,24
BGR,57,DSB|DB,2012-12-03,2020,23
BGR,982,BSP,2014-04-29,2014,134
BGR,982,BSP,2014-04-29,2015,359
BGR,982,BSP,2014-04-29,2016,515
BGR,982,BSP,2014-04-29,2017,1031
BGR,982,BSP,2014-04-29,2018,1850
BGR,982,BSP,2014-04-29,2019,1377
BGR,982,BSP,2014-04-29,2020,1688
