country_name_short,party_id,party_name,party_name_english,party_name_short,party_created_date,party_end_date,website,fb_handle,fb_scraping,fb_status,fb_account_type,fb_page_created,fb_date_min,fb_date_max,fb_posts_n,fb_collection_update,insta_handle,insta_scraping,insta_status,insta_account_type,insta_page_created,insta_date_min,insta_date_max,insta_posts_n,insta_type_img_n,insta_type_vid_n,insta_type_car_n,insta_collection_update,tw_handle,tw_scraping,tw_status,tw_account_type,tw_page_created,tw_date_min,tw_date_max,tw_posts_n,tw_collection_update,yt_scraping,yt_channel_id,yt_channel_url,yt_status,yt_account_type,yt_page_created,yt_date_min,yt_date_max,yt_videos_n,yt_collection_update
ISL,2633,Viðreisn,Revival,V,2014-06-01,NA,https://vidreisn.is/,vidreisn,TRUE,Collection completed,party,2014-05-02,2015-01-04,2023-12-28,2836,2023-12-31,vidreisn,TRUE,Collection completed,party,2016-10-15,2016-10-15,2016-10-15,546,300,116,130,2023-12-31,vidreisn,FALSE,Collection not completed,party,NA,NA,NA,NA,NA,TRUE,UCvqCjFjVSgu14tXy7VoYtAw,@vidreisn,Collection completed,party,2016-04-10,2016-05-25,2023-02-12,89,2023-12-31
ISL,2655,Miðflokkurinn,Centre Party,M,2017-09-24,NA,https://www.midflokkurinn.is/,midflokkur,TRUE,Collection completed,party,2017-09-25,2017-09-25,2023-12-31,2701,2023-12-31,midflokkurinn,TRUE,Collection completed,party,2017-10-23,2017-10-23,2017-10-23,88,46,34,8,2023-12-31,midflokkurinn,FALSE,Collection not completed,party,NA,NA,NA,NA,NA,TRUE,UCYN3wixMGSTe7zfRgAcjVwA,@midflokkurinn,Collection completed,party,2019-03-04,2020-05-02,2023-12-21,89,2023-12-31
ISR,214,Miflaga Datit Leumit (Mafdal) | Habayit Hayehudi,National Religious Party | The Jewish Home,MDL|HH,2008-01-01,2023-12-31,nf,NA,FALSE,No account identified,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,No account identified,NA,NA,NA,NA,NA,2023-12-31
ISR,244,HaMa'arakh | HaAvoda,Alignment | Labor,Ma|Av,1968-01-23,NA,https://havoda.org.il/,havoda,TRUE,Collection completed,party,2010-09-24,2011-03-02,2023-12-25,3416,2023-12-31,israelilabor,TRUE,Collection completed,party,2019-01-14,2019-01-14,2019-01-14,740,420,224,96,2023-12-31,HavodaParty,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCByElalkPOnXBHVzuLJyAVg,@democratsparty,Collection completed,party,2011-08-14,2011-11-22,2022-10-29,419,2023-12-31
ISR,678,Likud,The Consolidation,L,1973-09-13,NA,https://www.likud.org.il/en/,Likudofficial,TRUE,Collection completed,party,2010-08-29,2011-01-03,2023-09-26,3880,2023-12-31,b.netanyahu,TRUE,Collection completed,leader,2015-01-26,2015-01-26,2015-01-26,6776,3206,2777,793,2023-12-31,Likud_Party,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCzuhZvXZVi7KQAPbOQfBIgw,@netanyahu,Collection completed,leader,2006-06-15,2010-03-14,2023-10-12,544,2023-12-31
ISR,732,Rakah | Hadash,New Communist List | Democratic Front,R|H,1977-01-01,NA,https://hadash.org.il/,hadash.org.il,FALSE,Collection not completed,party,NA,NA,NA,NA,2023-12-31,hadash.front,TRUE,Collection completed,party,2017-09-15,2017-09-15,2017-09-15,436,303,65,68,2023-12-31,Hadash_org,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCsaFMFGuuKcEdgobUgRpP7A,@hadash2009,Collection completed,party,2008-12-22,2008-12-22,2015-03-13,120,2023-12-31
ISR,788,Shomrei Sfarad,Sephardi Guardians,Shas,1984-01-01,NA,website non available,Tnuatshas,TRUE,Collection completed,party,2019-01-29,2019-01-30,2023-10-17,345,2023-12-31,shas_party_,TRUE,Collection completed,party,2019-02-06,2019-02-06,2019-02-06,271,74,157,40,2023-12-31,mplegtses,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UC6DbCrHazhWbiKY0mU5AOxQ,@shasnet18,Collection completed,party,2012-01-27,2012-01-31,2018-11-18,115,2023-12-31
ISR,805,Brit Le'umit Demokratit,National Democratic Assembly,Balad,1995-01-01,NA,nf,NA,FALSE,No account identified,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,No account identified,NA,NA,NA,NA,NA,2023-12-31
ISR,1303,Yahadut HaTora HaMeuhedet,United Torah Judaism,YaToMe,1992-01-01,NA,website non available,yahdutatora,TRUE,Collection completed,party,2014-12-07,2019-03-05,2022-11-05,318,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,TRUE,UCRePGWxKzOKbYaJp0CPc-yw,@יהדותהתורה-ח2מ,Collection completed,party,2015-03-01,2015-03-01,2015-03-17,23,2023-12-31
ISR,1357,HaIhud HaLeumi–Tkuma | HaTzionut HaDatit,National Union--Tkuma | Religious Zionist Party,HaLe-T|RZP,1998-01-01,2023-12-31,https://zionutdatit.org.il/,ichoodLeumi.shetach,TRUE,Collection completed,party,2011-09-15,2012-04-03,2023-12-31,1532,2023-12-31,zionut_datit,TRUE,Collection completed,party,2019-06-19,2019-06-19,2019-06-19,481,260,191,30,2023-12-31,bezalelsm,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UC1QHfeNY0Z2pLsHZBg4SH_w,@zionutdatit,Collection completed,party,2019-01-31,2019-01-31,2023-12-30,375,2023-12-31
