country_name_short,party_id,party_name_short,insta_page_created,week,insta_posts_n_weekly,insta_type_img_n_weekly,insta_type_vid_n_weekly,insta_type_car_n_weekly
AUS,1253,ALP,2016-05-23,2022-07-31,21,21,0,0
AUS,1253,ALP,2016-05-23,2022-08-07,25,23,0,2
AUS,1253,ALP,2016-05-23,2022-08-14,19,19,0,0
AUS,1253,ALP,2016-05-23,2022-08-21,13,12,0,1
AUS,1253,ALP,2016-05-23,2022-08-28,13,13,0,0
AUS,1253,ALP,2016-05-23,2022-09-04,11,8,0,3
AUS,1253,ALP,2016-05-23,2022-09-11,5,5,0,0
AUS,1253,ALP,2016-05-23,2022-09-18,10,9,0,1
AUS,1253,ALP,2016-05-23,2022-09-25,22,19,0,3
AUS,1253,ALP,2016-05-23,2022-10-02,17,16,0,1
AUS,1253,ALP,2016-05-23,2022-10-09,17,16,0,1
AUS,1253,ALP,2016-05-23,2022-10-16,19,15,0,4
AUS,1253,ALP,2016-05-23,2022-10-23,27,21,0,6
AUS,1253,ALP,2016-05-23,2022-10-30,13,12,0,1
AUS,1253,ALP,2016-05-23,2022-11-06,21,20,0,1
AUS,1253,ALP,2016-05-23,2022-11-13,13,9,0,4
AUS,1253,ALP,2016-05-23,2022-11-20,17,13,0,4
AUS,1253,ALP,2016-05-23,2022-11-27,26,16,4,6
AUS,1253,ALP,2016-05-23,2022-12-04,17,14,1,2
AUS,1253,ALP,2016-05-23,2022-12-11,18,15,1,2
AUS,1253,ALP,2016-05-23,2022-12-18,15,14,0,1
AUS,1253,ALP,2016-05-23,2022-12-25,18,16,2,0
AUS,1253,ALP,2016-05-23,2023-01-01,14,14,0,0
AUS,1253,ALP,2016-05-23,2023-01-08,15,15,0,0
AUS,1253,ALP,2016-05-23,2023-01-15,16,16,0,0
AUS,1253,ALP,2016-05-23,2023-01-22,11,10,0,1
AUS,1253,ALP,2016-05-23,2023-01-29,23,13,0,10
AUS,1253,ALP,2016-05-23,2023-02-05,25,19,3,3
AUS,1253,ALP,2016-05-23,2023-02-12,18,14,2,2
AUS,1253,ALP,2016-05-23,2023-02-19,16,11,1,4
AUS,1253,ALP,2016-05-23,2023-02-26,23,20,1,2
AUS,1253,ALP,2016-05-23,2023-03-05,23,15,3,5
AUS,1253,ALP,2016-05-23,2023-03-12,20,19,1,0
AUS,1253,ALP,2016-05-23,2023-03-19,27,20,1,6
AUS,1253,ALP,2016-05-23,2023-03-26,26,17,3,6
AUS,1253,ALP,2016-05-23,2023-04-02,22,19,1,2
AUS,1253,ALP,2016-05-23,2023-04-09,18,13,0,5
AUS,1253,ALP,2016-05-23,2023-04-16,19,16,1,2
AUS,1253,ALP,2016-05-23,2023-04-23,23,18,0,5
AUS,1253,ALP,2016-05-23,2023-04-30,27,25,0,2
AUS,1253,ALP,2016-05-23,2023-05-07,39,32,3,4
AUS,1253,ALP,2016-05-23,2023-05-14,28,28,0,0
AUS,1253,ALP,2016-05-23,2023-05-21,27,16,7,4
AUS,1253,ALP,2016-05-23,2023-05-28,21,17,2,2
AUS,1253,ALP,2016-05-23,2023-06-04,25,19,3,3
AUS,1253,ALP,2016-05-23,2023-06-11,19,16,0,3
AUS,1253,ALP,2016-05-23,2023-06-18,25,14,7,4
AUS,1253,ALP,2016-05-23,2023-06-25,17,15,0,2
AUS,1253,ALP,2016-05-23,2023-07-02,23,16,3,4
AUS,1253,ALP,2016-05-23,2023-07-09,20,15,4,1
AUS,1253,ALP,2016-05-23,2023-07-16,23,17,1,5
AUS,1253,ALP,2016-05-23,2023-07-23,26,18,5,3
AUS,1253,ALP,2016-05-23,2023-07-30,26,15,7,4
AUS,1253,ALP,2016-05-23,2023-08-06,24,14,4,6
AUS,1253,ALP,2016-05-23,2023-08-13,29,21,2,6
AUS,1253,ALP,2016-05-23,2023-08-20,26,18,4,4
AUS,1253,ALP,2016-05-23,2023-08-27,26,16,3,7
AUS,1253,ALP,2016-05-23,2023-09-03,31,16,5,10
AUS,1253,ALP,2016-05-23,2023-09-10,30,17,9,4
AUS,1253,ALP,2016-05-23,2023-09-17,31,17,12,2
AUS,1253,ALP,2016-05-23,2023-09-24,41,28,11,2
AUS,1253,ALP,2016-05-23,2023-10-01,46,20,20,6
AUS,1253,ALP,2016-05-23,2023-10-08,50,26,17,7
AUS,1253,ALP,2016-05-23,2023-10-15,21,13,3,5
AUS,1253,ALP,2016-05-23,2023-10-22,22,19,1,2
AUS,1253,ALP,2016-05-23,2023-10-29,19,10,4,5
AUS,1253,ALP,2016-05-23,2023-11-05,20,11,5,4
AUS,1253,ALP,2016-05-23,2023-11-12,22,14,6,2
AUS,1253,ALP,2016-05-23,2023-11-19,18,14,1,3
AUS,1253,ALP,2016-05-23,2023-11-26,29,18,7,4
AUS,1253,ALP,2016-05-23,2023-12-03,24,13,5,6
AUS,1253,ALP,2016-05-23,2023-12-10,17,12,2,3
AUS,1253,ALP,2016-05-23,2023-12-17,17,10,4,3
AUS,1253,ALP,2016-05-23,2023-12-24,10,6,4,0
AUS,1253,ALP,2016-05-23,2023-12-31,3,3,0,0
AUS,1411,LPA,2013-03-20,2013-03-17,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-03-31,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-04-07,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-05-05,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-05-26,2,2,0,0
AUS,1411,LPA,2013-03-20,2013-06-02,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-06-23,3,3,0,0
AUS,1411,LPA,2013-03-20,2013-07-14,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-07-28,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-08-04,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-08-11,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-08-18,3,3,0,0
AUS,1411,LPA,2013-03-20,2013-08-25,2,2,0,0
AUS,1411,LPA,2013-03-20,2013-09-01,2,2,0,0
AUS,1411,LPA,2013-03-20,2013-09-15,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-11-10,1,1,0,0
AUS,1411,LPA,2013-03-20,2013-12-15,1,1,0,0
AUS,1411,LPA,2013-03-20,2014-06-22,2,2,0,0
AUS,1411,LPA,2013-03-20,2014-07-06,1,1,0,0
AUS,1411,LPA,2013-03-20,2014-07-13,1,1,0,0
AUS,1411,LPA,2013-03-20,2015-03-29,1,1,0,0
AUS,1411,LPA,2013-03-20,2015-04-05,1,1,0,0
AUS,1411,LPA,2013-03-20,2015-04-12,2,2,0,0
AUS,1411,LPA,2013-03-20,2015-04-19,1,1,0,0
AUS,1411,LPA,2013-03-20,2015-05-03,2,2,0,0
AUS,1411,LPA,2013-03-20,2015-05-10,3,3,0,0
AUS,1411,LPA,2013-03-20,2015-06-14,2,2,0,0
AUS,1411,LPA,2013-03-20,2015-06-21,1,1,0,0
AUS,1411,LPA,2013-03-20,2015-07-12,1,1,0,0
AUS,1411,LPA,2013-03-20,2015-11-22,1,1,0,0
AUS,1411,LPA,2013-03-20,2016-05-15,2,2,0,0
AUS,1411,LPA,2013-03-20,2016-05-22,5,5,0,0
AUS,1411,LPA,2013-03-20,2016-05-29,1,1,0,0
AUS,1411,LPA,2013-03-20,2016-06-05,2,2,0,0
AUS,1411,LPA,2013-03-20,2016-06-12,1,1,0,0
AUS,1411,LPA,2013-03-20,2016-06-26,1,1,0,0
AUS,1411,LPA,2013-03-20,2019-01-27,1,1,0,0
AUS,1411,LPA,2013-03-20,2019-02-17,2,1,1,0
AUS,1411,LPA,2013-03-20,2019-03-31,1,1,0,0
AUS,1411,LPA,2013-03-20,2019-04-07,4,1,1,2
AUS,1411,LPA,2013-03-20,2019-04-14,8,6,1,1
AUS,1411,LPA,2013-03-20,2019-04-21,9,6,1,2
AUS,1411,LPA,2013-03-20,2019-04-28,11,8,1,2
AUS,1411,LPA,2013-03-20,2019-05-05,18,16,1,1
AUS,1411,LPA,2013-03-20,2019-05-12,35,32,2,1
AUS,1411,LPA,2013-03-20,2019-05-26,1,0,0,1
AUS,1411,LPA,2013-03-20,2019-07-14,2,2,0,0
AUS,1411,LPA,2013-03-20,2019-07-21,1,1,0,0
AUS,1411,LPA,2013-03-20,2019-07-28,2,2,0,0
AUS,1411,LPA,2013-03-20,2019-08-11,1,1,0,0
AUS,1411,LPA,2013-03-20,2019-08-25,4,4,0,0
AUS,1411,LPA,2013-03-20,2019-09-01,1,1,0,0
AUS,1411,LPA,2013-03-20,2019-10-13,4,1,3,0
AUS,1411,LPA,2013-03-20,2019-10-20,1,1,0,0
AUS,1411,LPA,2013-03-20,2020-07-19,1,0,1,0
AUS,1411,LPA,2013-03-20,2020-07-26,2,1,1,0
AUS,1411,LPA,2013-03-20,2020-08-02,2,2,0,0
AUS,1411,LPA,2013-03-20,2020-08-09,1,0,1,0
AUS,1411,LPA,2013-03-20,2020-08-16,6,6,0,0
AUS,1411,LPA,2013-03-20,2020-08-23,2,2,0,0
AUS,1411,LPA,2013-03-20,2020-09-20,5,3,2,0
AUS,1411,LPA,2013-03-20,2020-09-27,4,4,0,0
AUS,1411,LPA,2013-03-20,2020-10-04,15,15,0,0
AUS,1411,LPA,2013-03-20,2020-10-11,16,16,0,0
AUS,1411,LPA,2013-03-20,2020-10-18,13,13,0,0
AUS,1411,LPA,2013-03-20,2020-10-25,7,7,0,0
AUS,1411,LPA,2013-03-20,2020-11-01,8,8,0,0
AUS,1411,LPA,2013-03-20,2020-11-08,7,6,1,0
AUS,1411,LPA,2013-03-20,2020-11-15,9,9,0,0
AUS,1411,LPA,2013-03-20,2020-11-22,6,6,0,0
AUS,1411,LPA,2013-03-20,2020-11-29,7,7,0,0
AUS,1411,LPA,2013-03-20,2020-12-06,7,7,0,0
AUS,1411,LPA,2013-03-20,2020-12-13,6,6,0,0
