country_name_short,party_id,party_name_short,yt_page_created,week,yt_videos_n_weekly
AUS,184,NCP|NPA,2007-08-27,2016-06-05,1
AUS,184,NCP|NPA,2007-08-27,2016-06-12,8
AUS,184,NCP|NPA,2007-08-27,2016-06-19,1
AUS,184,NCP|NPA,2007-08-27,2016-12-18,1
AUS,184,NCP|NPA,2007-08-27,2017-05-07,1
AUS,184,NCP|NPA,2007-08-27,2017-06-11,1
AUS,184,NCP|NPA,2007-08-27,2019-04-07,1
AUS,184,NCP|NPA,2007-08-27,2019-04-21,1
AUS,184,NCP|NPA,2007-08-27,2019-05-12,2
AUS,184,NCP|NPA,2007-08-27,2020-01-19,1
AUS,184,NCP|NPA,2007-08-27,2020-03-29,2
AUS,184,NCP|NPA,2007-08-27,2020-10-04,1
AUS,184,NCP|NPA,2007-08-27,2021-06-06,2
AUS,184,NCP|NPA,2007-08-27,2022-02-27,1
AUS,184,NCP|NPA,2007-08-27,2022-04-10,2
AUS,184,NCP|NPA,2007-08-27,2022-04-17,2
AUS,184,NCP|NPA,2007-08-27,2022-05-08,1
AUS,184,NCP|NPA,2007-08-27,2022-05-15,2
AUS,184,NCP|NPA,2007-08-27,2023-04-02,1
AUS,215,CouLP,2022-05-19,2022-05-15,2
AUS,2258,Katter,2018-02-16,2018-09-02,1
AUS,2258,Katter,2018-02-16,2019-01-20,1
AUS,2259,PUP,2013-05-15,2013-05-12,4
AUS,2259,PUP,2013-05-15,2013-05-19,14
AUS,2259,PUP,2013-05-15,2013-05-26,4
AUS,2259,PUP,2013-05-15,2013-06-02,1
AUS,2259,PUP,2013-05-15,2013-06-23,11
AUS,2259,PUP,2013-05-15,2013-07-14,1
AUS,2259,PUP,2013-05-15,2013-08-04,1
AUS,2259,PUP,2013-05-15,2013-08-18,5
AUS,2259,PUP,2013-05-15,2013-08-25,26
AUS,2259,PUP,2013-05-15,2013-09-01,2
AUS,2259,PUP,2013-05-15,2014-01-26,13
AUS,2259,PUP,2013-05-15,2014-02-23,29
AUS,2259,PUP,2013-05-15,2014-03-02,3
AUS,2259,PUP,2013-05-15,2014-03-09,5
AUS,2259,PUP,2013-05-15,2014-03-16,9
AUS,2259,PUP,2013-05-15,2014-03-23,5
AUS,2259,PUP,2013-05-15,2014-05-11,2
AUS,2259,PUP,2013-05-15,2014-05-18,1
AUS,2259,PUP,2013-05-15,2014-05-25,3
AUS,2259,PUP,2013-05-15,2014-06-15,1
AUS,2259,PUP,2013-05-15,2014-06-22,5
AUS,2259,PUP,2013-05-15,2014-07-13,2
AUS,2259,PUP,2013-05-15,2014-07-20,1
AUS,2259,PUP,2013-05-15,2014-08-03,1
AUS,2259,PUP,2013-05-15,2014-08-24,1
AUS,2259,PUP,2013-05-15,2014-08-31,3
AUS,2259,PUP,2013-05-15,2014-09-21,3
AUS,2259,PUP,2013-05-15,2014-10-26,2
AUS,2259,PUP,2013-05-15,2014-11-02,6
AUS,2259,PUP,2013-05-15,2014-11-16,1
AUS,2259,PUP,2013-05-15,2014-11-30,2
AUS,2259,PUP,2013-05-15,2014-12-28,1
AUS,2259,PUP,2013-05-15,2015-01-04,6
AUS,2259,PUP,2013-05-15,2015-01-11,9
AUS,2259,PUP,2013-05-15,2015-01-18,10
AUS,2259,PUP,2013-05-15,2015-01-25,3
AUS,2259,PUP,2013-05-15,2015-02-08,2
AUS,2259,PUP,2013-05-15,2015-02-22,1
AUS,2259,PUP,2013-05-15,2015-03-01,4
AUS,2259,PUP,2013-05-15,2015-03-22,4
AUS,2259,PUP,2013-05-15,2015-04-26,1
AUS,2259,PUP,2013-05-15,2015-05-10,1
AUS,2259,PUP,2013-05-15,2015-05-24,2
AUS,2259,PUP,2013-05-15,2015-05-31,3
AUS,2259,PUP,2013-05-15,2015-06-14,1
AUS,2259,PUP,2013-05-15,2015-06-21,6
AUS,2259,PUP,2013-05-15,2015-07-12,1
AUS,2259,PUP,2013-05-15,2015-07-26,1
AUS,2259,PUP,2013-05-15,2015-08-09,2
AUS,2259,PUP,2013-05-15,2015-08-23,1
AUS,2259,PUP,2013-05-15,2015-09-13,2
AUS,2259,PUP,2013-05-15,2015-10-11,2
AUS,2259,PUP,2013-05-15,2015-10-18,1
AUS,2259,PUP,2013-05-15,2015-11-08,1
AUS,2259,PUP,2013-05-15,2015-11-22,2
AUS,2259,PUP,2013-05-15,2015-11-29,2
AUS,2259,PUP,2013-05-15,2016-01-31,4
AUS,2259,PUP,2013-05-15,2016-02-07,1
AUS,2259,PUP,2013-05-15,2016-02-21,3
AUS,2259,PUP,2013-05-15,2016-03-13,4
AUS,2259,PUP,2013-05-15,2016-04-10,1
AUS,2259,PUP,2013-05-15,2016-04-24,1
AUS,2259,PUP,2013-05-15,2016-05-01,8
AUS,2259,PUP,2013-05-15,2016-05-08,1
AUS,2259,PUP,2013-05-15,2016-05-22,1
AUS,2259,PUP,2013-05-15,2016-06-05,30
AUS,2259,PUP,2013-05-15,2016-06-19,18
AUS,2259,PUP,2013-05-15,2016-06-26,6
AUS,2259,PUP,2013-05-15,2016-12-18,1
