party_id,country_name_short,party_name_short,facebook_cap_coverage,twitter_cap_coverage,instagram_cap_coverage
2804,ESP,Equo,classified,classified,classified
2723,ESP,NA+,classified,no_account,no_account
2376,ESP,P,classified,classified,classified
118,ESP,PCE|IU,classified,classified,classified
1361,ESP,PNV,classified,classified,classified
902,ESP,PSOE,classified,classified,classified
551,ESP,UPyD,no_account,classified,classified
2380,ESP,Vox,classified,classified,classified
1292,FIN,DL|VAS,classified,classified,classified
1463,FIN,KD,classified,classified,classified
94,FIN,KESK,classified,classified,classified
1118,FIN,KOK,classified,classified,classified
2801,FIN,LN,classified,classified,classified
585,FIN,RKP-SFP,classified,classified,classified
200,FIN,SP|P,classified,classified,classified
395,FIN,SSDP,classified,classified,classified
1062,FIN,VIHR,classified,not_classified,classified
2078,FRA,AC,no_account,classified,classified
2399,FRA,DLR|DLF,classified,classified,classified
2644,FRA,FI,classified,classified,classified
270,FRA,FN,classified,classified,classified
1058,FRA,NC,no_account,classified,classified
686,FRA,PCF,classified,classified,classified
401,FRA,PR,no_account,classified,classified
1492,FRA,PRG,no_account,classified,classified
1539,FRA,PS,classified,classified,classified
2860,FRA,R!,no_account,classified,classified
2643,FRA,REM|R,classified,classified,classified
509,FRA,UDF|MD,classified,classified,classified
2273,FRA,UDI,classified,classified,classified
658,FRA,UMP|LR,classified,classified,classified
873,FRA,V,classified,classified,classified
2729,GBR,BP,no_account,classified,not_classified
773,GBR,Con,classified,classified,classified
319,GBR,DUP,classified,no_account,classified
467,GBR,GP,classified,classified,classified
1556,GBR,Lab,classified,classified,classified
659,GBR,Lib,classified,classified,classified
311,GBR,Plaid,classified,classified,classified
1023,GBR,SDLP,not_classified,no_account,classified
1284,GBR,SNP,classified,classified,classified
1272,GBR,UKIP,classified,classified,classified
1210,GBR,UUP,classified,no_account,classified
1970,HUN,DK,classified,classified,classified
870,HUN,FKgP,classified,no_account,no_account
921,HUN,Fi-MPSz,classified,classified,classified
600,HUN,Jobbik,classified,classified,classified
434,HUN,KDNP,classified,classified,classified
403,HUN,LMP,classified,classified,classified
2745,HUN,MHM,classified,classified,classified
2659,HUN,MM,classified,classified,classified
1591,HUN,MSZP,classified,classified,classified
2349,HUN,PM,classified,no_account,no_account
2795,IRL,A,no_account,no_account,classified
2619,IRL,DS,classified,classified,classified
280,IRL,FF,classified,classified,classified
1393,IRL,FG,classified,classified,classified
1573,IRL,Green,classified,classified,classified
318,IRL,Lab,classified,classified,classified
1804,IRL,PBPA,classified,no_account,no_account
2217,IRL,SF,classified,classified,classified
1014,IRL,SP,classified,no_account,classified
2737,ITA,#NAME?,classified,classified,classified
927,ITA,AIE,classified,no_account,classified
2153,ITA,CD,classified,classified,no_account
596,ITA,FI-PdL,classified,classified,classified
2154,ITA,FdI,classified,classified,classified
910,ITA,FdV,classified,classified,classified
2794,ITA,IV,classified,classified,classified
693,ITA,IdV,classified,no_account,no_account
1436,ITA,LN,classified,classified,classified
2155,ITA,M5S,classified,classified,classified
382,ITA,PD,classified,classified,classified
1321,ITA,PRC,classified,classified,classified
1661,ITA,PdCI,classified,classified,classified
1296,ITA,R,classified,classified,classified
465,ITA,S,classified,classified,classified
2156,ITA,SC,no_account,classified,no_account
1030,ITA,SVP,classified,classified,classified
226,ITA,UC,classified,classified,classified
2671,ITA,USEI,classified,classified,classified
974,ITA,UV,classified,classified,classified
2109,NLD,50+,no_account,classified,no_account
2824,NLD,BBB,classified,classified,classified
235,NLD,CDA,classified,classified,classified
1206,NLD,CU,classified,classified,classified
345,NLD,D66,classified,classified,classified
2641,NLD,DENK,classified,classified,classified
2642,NLD,FvD,classified,classified,classified
756,NLD,GL,classified,classified,classified
2823,NLD,JA21,classified,classified,classified
1501,NLD,PVV,classified,classified,classified
742,NLD,PvdA,classified,classified,classified
990,NLD,PvdD,classified,classified,classified
1251,NLD,SGP,classified,classified,classified
357,NLD,SP,classified,classified,classified
2735,NLD,VN,classified,classified,classified
1409,NLD,VVD,classified,classified,classified
104,NOR,DNA,classified,classified,classified
351,NOR,Fr,classified,classified,classified
1435,NOR,H,classified,classified,classified
1538,NOR,KrF,classified,classified,classified
2254,NOR,MDG,classified,classified,classified
1638,NOR,RV,classified,classified,classified
81,NOR,SV,classified,classified,classified
702,NOR,Sp,classified,classified,classified
647,NOR,V,classified,classified,classified
2600,POL,K,classified,classified,classified
2602,POL,KORWIN,classified,classified,no_account
2790,POL,LR,classified,classified,classified
900,POL,MN,no_account,no_account,classified
2601,POL,N,classified,classified,classified
512,POL,PO,classified,classified,classified
664,POL,PSL,classified,no_account,classified
528,POL,PiS,classified,classified,classified
2398,POL,RN,classified,no_account,classified
1140,POL,SDPL,classified,no_account,no_account
629,POL,SLD,no_account,no_account,classified
207,POL,SRP,classified,no_account,no_account
557,PRT,BE,classified,classified,classified
251,PRT,CDS-PP,classified,classified,classified
1295,PRT,CDU,classified,classified,classified
2789,PRT,CH,classified,classified,classified
2788,PRT,IL,classified,classified,classified
2374,PRT,L,classified,classified,classified
1781,PRT,PAN,classified,classified,classified
514,PRT,PCP,classified,classified,classified
1535,PRT,PEV,classified,classified,classified
107,PRT,PPM,no_account,classified,classified
725,PRT,PS,classified,classified,classified
1273,PRT,PSD,classified,classified,classified
1461,SWE,C,classified,classified,classified
892,SWE,FP,classified,classified,classified
282,SWE,KD,classified,classified,classified
657,SWE,M,classified,classified,classified
1154,SWE,MP,classified,classified,classified
904,SWE,SAP,classified,classified,classified
1546,SWE,SD,classified,classified,classified
882,SWE,V,classified,classified,classified
